,date,title,source,contents,link
0,2010.10.07.,대전 사이언스 페스티벌 막 올라,연합뉴스,대전 사이언스 페스티벌 개막 (대전=연합뉴스) 대전의 대표적인 과학문화 축제인 '사이언스 페스티벌'이 7일 나흘간의 일정으로 대전엑스포과학공원 일원에서 개막해 참가한 학생들이 과학실험을 하며 즐거운 시간을...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0004692262
1,2010.10.04.,"대전시,‘2010 대전 사이언스 페스티벌’ 개최",파이낸셜뉴스,대전시는 오는 7∼10일까지 나흘간 엑스포과학공원에서 대전의 대표 과학문화 축제인 ‘대전사이언스 페스티벌’을 연다고 4일 밝혔다. 13회째를 맞는 이번 축제는 ‘자연을 생각하는 과학’이라는 주제로 자연을 기초로...,http://www.fnnews.com/view?ra=Sent1201m_01A&corp=fnnews&arcid=101004132154&cDateYear=2010&cDateMonth=10&cDateDay=04&
2,2010.10.10.,대전 사이언스페스티벌 폐막..11만명 방문,연합뉴스,대전 사이언스 페스티벌 개막 (대전=연합뉴스) 대전의 대표적인 과학문화 축제인 '사이언스 페스티벌'이 7일 나흘간의 일정으로 대전엑스포과학공원 일원에서 개막해 참가한 학생들이 과학실험을 하며 즐거운...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0004698728
3,2010.09.23.,사이언스페스티벌 열린다,충청일보,【충청일보】 [충청일보]대전시는 상반기에 이어 다음 달 7일부터 10일까지 4일간 엑스포과학공원에서 대전사이언스페스티벌을 개최한다. 대전 사이언스페스티벌은 대전의 대표적인 과학축제로 지난해 봄과 가을...,http://www.ccdailynews.com/section/?knum=173499
4,2010.10.05.,`대전 사이언스 페스티벌` 개최,디지털타임스,"대전시는 오는 7일부터 10일까지 대전 엑스포과학공원 일원에서 `대전 사이언스 페스티벌'을 연다고 4일 밝혔다. 올해로 13회째를 맞는 이번 행사는 `자연을 생각하는 과학'이란 주제로 특별행사와 체험행사, 문화행사...",http://www.dt.co.kr/contents.html?article_no=2010100502012069731003
5,2010.11.19.,[사이언스 포커스]2010 융합문화 페스티벌,전자신문,"한국과학창의재단(이사장 정윤)이 주최하는 ‘2010 융합문화 페스티벌-과학과 인문·예술 5일간의 대화’... 한 대전대학교의 ‘다양한 세계악기에서 찾는 과학’, 3D 영상의 발전사를 볼 수 있는 중앙대학교...",http://www.etnews.co.kr/news/detail.html?id=201011180082
6,2010.11.25.,"대전시의회 ""교육청, 무상급식 미편성 대책이 뭔가""",뉴시스,"의원= ""사이언스 페스티벌과 비슷한 견우직녀 축제, 북두칠성별 축제 등이 산만하게 운영되고 있다. 한밭문화제가 대전의 대표축제로 인식돼 왔는데, 유사한 축제를 통폐합해 대전의 대표 축제로 육성하는 방안이...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0003557093
7,2010.10.06.,대전에선 온가족 과학 체험을,한겨레,대전시는 5일 “오는 7일부터 10일까지 4일간 유성구 엑스포과학공원 일대에서 ‘2010 대전 사이언스 페스티벌’을 연다”고 밝혔다. 대전을 대표하는 과학축제로 올해 13회째를 맞는 이번 페스티벌은 ‘자연을...,http://www.hani.co.kr/arti/society/area/442483.html
8,2010.10.11.,[대전] 전 세계 핵융합에너지 올림픽 개막,천지일보,"11일 대전컨벤션 센터에서 시작했다. 교과부와 IAEA가 공동 주최하고 국가핵융합연구소와 대전시가 공동... 11일 사이언스 매직쇼, 9~16일 전기발생체험, 11~12일 열기구체험 등 일반인도 즐길 수 있는 그린 페스티벌...",http://www.newscj.com/news/articleView.html?idxno=56726
9,2010.09.22.,대전시 '대충청방문의 해' 관광객 유치 총력,아주경제,"올해 가을 대전에서는△동서양 3천년 화폐 역사 전시, 경매 등의 제1회 대한민국 화폐전시회(10월1쨌3일, 대전컨벤션센터) △사이언스 페스티벌(10월7쨌10일, 엑스포과학공원)△열기구축제(10월16쨌17일...",http://www.ajnews.co.kr/uhtml/read.jsp?idxno=201009221038531330126
