,date,title,source,contents,link
314,2017.10.20.,[대전소식] '우리 대전 같은 책 읽기' 선정도서 선포식,연합뉴스,"올해 대전시민천문대 별 축제는 21일부터 열리는 2017 대전 사이언스페스티벌 연계행사로 개최된다. 1천회 기념 별 음악회, 과학부스체험, 퀴즈대회, 식전공연, 경품추첨, 천체관측회 등 어린이 등 온 가족이 함께 참여할...",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20171020120900063&did=1195m
315,2017.10.10.,국내 첫 인간형 로봇 `휴보` 보러오세요…대전 사이언스페스티벌 21일 개막,매일경제,"국내 최고의 과학 축제인 대전 사이언스페스티벌이 오는 21일부터 나흘간 열린다. 10일 대전시에 따르면 대전 사이언스페스티벌은 '과학과 문화의 융합, 미래를 엿보다'라는 주제로 대덕연구개발특구 정부출연연구원과...",http://news.mk.co.kr/newsRead.php?year=2017&no=667802
316,2017.12.13.,대전비엔나레호 돛을 올리다,충청투데이,"과학과 예술이 만나 새로운 표현형식으로 탄생되는 미술은 민족, 국가, 문화권 간의 문화적 소통으로 넓혀갈 뿐만 아니라 대전형 비엔나레는 도시의 미래 비젼으로 충분한 가치가 있다. 사이언스 페스티벌이나 문화재단의...",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1104541
317,2017.10.21.,대전시민천문대 '별★축제',이뉴스투데이,"올해 대전시민천문대 별축제는 21일부터 열리는 2017대전사이언스페스티벌 연계행사로 진행된다. 1000회 기념 별음악회, 과학부스체험, 퀴즈대회, 식전공연, 경품추첨, 천체관측회 등 어린이를 비롯한 온 가족이 함께...",http://www.enewstoday.co.kr/news/articleView.html?idxno=1119659
318,2017.12.08.,"대전중촌초, 탈북학생 우수사례 공모전 우수상 수상",불교공뉴스,"부문에서 대전시교육감 표창을 수상한 바 있다. 탈북 후 중국을 경유해 입국한 학생의 어머니는 ""자녀가 자연관찰 탐구대회와 사이언스 페스티벌 대회 등 각종 과학 활동에 참여하여 과학자의 꿈을 키울 수 있었다""며...",http://www.bzeronews.com/news/articleView.html?idxno=332517
319,2017.10.12.,'과학도시' 대전 '4차 산업 특별시'로 발돋움 [정책공감],KTV국민방송,오는 21일 2017대전사이언스 페스티벌이 열린다면서요. 13. 국내 최대 규모의 방송영상제작 전문시설인 스튜디오 큐브가 엑스포과학공원 내에 개관했다는 반가운 소식도 들립니다. 소개해주시죠. 14. 앞으로 남은 임기동안...,http://www.ktv.go.kr/content/view?content_id=543185
320,2017.10.20.,[주말 충청권 가볼만한 곳] 논산·홍성서 '젓갈 축제'·대전서는 대전 사이언...,중부일보,연합 [주말 충청권 가볼만한 곳] 논산·홍성서 '젓갈 축제'·대전서는 대전 사이언스페스티벌 충남 논산과 홍성에서는 '젓갈 축제'가 열린다. 대전에서는 사이언스페스티벌이 열려 가족과 함께 하기 좋다. 가을 '밥 도둑...,http://www.joongboo.com/?mod=news&act=articleView&idxno=1201179
321,2017.10.26.,"대전청춘예찬프라자, 5일간 3만명 참여",프라임경제,"활용한 '대전판 냉장고를 부탁해', 버스킹 공연 등 다채로운 이벤트로 시민들의 눈길을 사로잡았다. 행사장을 찾은 한 시민은 ""지난 사이언스페스티벌에서는 먹거리와 휴게공간이 없어 행사프로그램을 오래 즐길 수...",http://www.newsprime.co.kr/news/article.html?no=392900
322,2017.10.24.,"대전마퇴본부, 학생 대상 약물오남용 예방 캠페인",데일리팜,"대전시마약퇴치운동본부(본부장 문태화)는 23일 사이언스페스티벌에서 학생 500여명을 대상으로 마약류 및 약물 오남용 예방 캠페인을 진행했다. 대전마퇴본부는 이날 전단지, 티슈, 행주, 반짇고리 등 다양한 홍보물을...",http://www.dailypharm.com/News/232536
323,2017.11.06.,[충청브리핑] 대전시의원 발의안 대리사인 ‘논란’,뉴데일리,"겪은 대전 유통시장 내년에는 장미빛? 신세계 사이언스콤플렉스, 현대 아웃렛 조성 속도 각 지역별... ‘젓가락 페스티벌’ 세계적 축제로 열린다 청주 옛 연초제조창 일원서 오는 10일부터 열흘간 개최 50개국 참여...",http://www.newdaily.co.kr/news/article.html?no=360188
324,2017.10.19.,"박종하 창의력연구소장, ‘대전경제포럼’ 특강 진행",뉴데일리,권선택 대전시장은 “오는 21~24일까지 엑스포시민광장에서 사이언스페스티벌이 진행된다”며 “과학과 4차산업의 도시 대전답게 다양한 기술과 볼거리가 선보이게 될 지역행사에 많은 관심과 참여를 바란다”고...,http://www.newdaily.co.kr/news/article.html?no=358692
325,2017.10.11.,"권선택 대전시장 ""예산편성서 새 정책 많이 반영해야""",뉴시스,0,http://www.newsis.com/view/?id=NISX20171011_0000114498&cID=10807&pID=10800
326,2017.11.20.,대전시 행정부시장 2018년도 예산안 제출 시정연설,국제뉴스,"또한 국제행사인 아태도시정상회의(APCS), FIFA U-20 월드컵, 우리시 대표축제 사이언스페스티벌을 성공적으로 개최하여 대전의 브랜드 가치가 한 단계 격상되었습니다. 이러한 땀과 노력의 결실로, 지역복지사업 평가 대상...",http://www.gukjenews.com/news/articleView.html?idxno=824567
327,2017.09.25.,[기고]대전에도 바다가 있다,대전일보,"갑천과 대전천 인근에서는 주말마다 전문가와 아마추어, 동호인 등이 선보이는 다양한 공연, 전시 등 예술 활동과 각종 행사가 넘친다. 대표축제만 9개다. 그 중 국제와인페어, 사이언스페스티벌, 견우직녀축제...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1280448
328,2017.10.27.,"대전청춘예찬프라자, 3만여명 참여",브레이크뉴스,"활용한‘대전판 냉장고를 부탁해’, 버스킹 공연 등 다채로운 이벤트로 시민들의 눈길을 사로잡았다. 행사장을 찾은 한 시민은“지난 사이언스페스티벌에서는 먹거리와 휴게공간이 없어 행사프로그램을 오래 즐길 수...",http://www.breaknews.com/sub_read.html?uid=538217§ion=sc2
329,2017.10.18.,[대전 사이언스페스티벌 D-2 ] 로봇·VR…미래 만나는 타임머신,금강일보,대전시 제공 올해 대전 사이언스페스티벌이 지난해와 다른 점은 시대의 화두로 떠오른 4차산업혁명과 연계한 다양한 아이템에 있다. 엑스포 시민광장에 1000평 규모로 마련된 사이언스페스티벌 주제전시관에서는 4차...,http://www.ggilbo.com/news/articleView.html?idxno=413251
330,2017.10.17.,[D-3 대전 사이언스페스티벌] 2017 사이언스페스티벌 21일 개막,금강일보,대한민국 대표 과학축제로 자리매김한 '2017 대전사이언스페스티벌'이 오는 주말 막을 올린다. 가을을 뜨겁게 달굴 사이언스페스티벌의 기상이 과학 도시 대전에서 대한민국을 넘어 전 세계로 뻗어나갈 채비를 갖췄다....,http://www.ggilbo.com/news/articleView.html?idxno=412887
331,2017.12.28.,전국 과학관에서 겨울방학 똑똑하게 즐기자!,어린이동아,"‘윈터사이언스 페스티벌’을 개최한다. 여기엔 과학 다큐멘터리, 과학 명작 영화를 상영하기도 하고 영화... 국립중앙과학관(대전 유성구)은 겨울방학 맞이 ‘과학교실’, ‘과학캠프’ 등 각종 교육 프로그램을...",http://kids.donga.com/news/vv.php?type=news&id=20171228154815268945
332,2017.10.09.,[연중기획] 국내 최고 과학축제 '대전 사이언스페스티벌' 21일 개막,중도일보,"국내 최고의 과학축제인 '대전 사이언스 페스티벌'이 올해도 찾아왔다. 올해로 20회를 맞는 사이언스 페스티벌은 오는 21일부터 24일까지 나흘간 '과학과 문화의 융합, 미래를 엿보다'라는 주제로 엑스포 시민광장·한빛탑...",http://www.joongdo.co.kr/main/view.php?key=20171009010001206
333,2017.06.07.,대전·세종·충남 6개 기관 '메가 이벤트' 위해 손 잡다,충청일보,"6개 기관은 △대전 사이언스페스티벌, 대전국제와인페어 △세종축제, 행복도시 착공 10주년·세종시 출범 5주년 기념행사 △2017금산세계인삼엑스포 성공 개최를 위해 실질적으로 협력키로 약속했다. 각 기관은...",http://www.ccdailynews.com/news/articleView.html?idxno=925657
