,date,title,source,contents,link
0,2005.06.21.,2005과학축전 대전서 열린다,대전일보,특히 올해는 한국과학문화재단이 주최해온 ‘대한민국 과학축전’과 대전시의 ‘사이언스 페스티벌’을 통합 개최해 명실상부한 국내 최대의 과학행사로 꾸며질 계획이다. 시는 이번 행사를 통해...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000034901
1,2005.08.05.,`대한민국 과학축전` 12일 대전 엑스포서 개막,디지털타임스,과학기술부와 한국과학문화재단ㆍ대전광역시 등이 공동 주최하는 이번 행사는 전시ㆍ체험 중심의 대한민국과학축전과 실외 행사 위주의 사이언스페스티벌 등 국내 양대 과학축제를 처음으로 통합 개최하는 것이다....,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0000111301
2,2005.06.22.,"2005 과학축전, '대전' 보여줄 호기다.",대전일보,더구나 이 기간에 대전 사이언스 페스티벌까지 함께 치르기로 해 과학도시 대전을 보여줄 수 있는 더없는 기회다. 도시 브랜드가치를 한단계 업그레이드하는 계기로 삼아야 할 것이다. 과학축전은 매년...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000035054
3,2005.08.02.,[엑스포공원 변해야 산다]<2>대전시의 활성화대책…대형과학축제 ‘활로’,파이낸셜뉴스,대전시는 만성적자와 관람객 감소에 시달리는 엑스포과학공원 을 활성화하기 위해 대형국책사업을... 우선 국내 양대 과학테마행사였던 사이언스페스티벌(과학공원 주최)과 대한민국과학축전(한국과학문화재단 주최)...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=014&aid=0000186139
4,2005.04.28.,대전지역 `청소년의 달' 행사 풍성,연합뉴스,"댄스 페스티벌', 15일 오전 9시 갑천변에서 `청소년 큰잔치', 20일 대전시립미술관에서 `청소년 선도 효 실천 웅변대회'가 개최된다. 과학 체험활동으로는 14-15일 엑스포과학공원에서 `봄 엑스포 사이언스 캠프', 21일...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=001&aid=0000989004
5,2005.02.01.,[지자체장의 IT구상](1)염홍철 대전시장,전자신문,"(2억5000만원) △대전사이언스페스티벌(1억원)등의 사업을 추진키로 했다. 대전=신선미기자@전자신문, smshin@ ◆프로필-염홍철 대전시장 지난 88년 대통령 비서실 정무 비서관으로 관계에 입문한 염홍철 대전시장은 이론과...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=030&aid=0000095908
6,2005.12.15.,<2005 화제의 인물> 국내편,연합뉴스,논문을 사이언스에 게재하면서 일약 세계의 주목을 받은 인물이 됐다. 또 8월에는 세계 최초의 복제 개... 그 결과 '2005 Mnet KM 뮤직비디오 페스티벌'에서 남자그룹상을 탄데 이어 '20회 골든디스크상 시상식'에서 대상의...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0001174318
7,2005.03.02.,대전 대형이벤트 유치 올인,경향신문,8월 엑스포과학공원과 대덕연구단지 일원에서 펼쳐지는 사이언스페스티벌에는 세계과학기술도시연합(WTA) 회원국 등 10개 나라 사람들이 참여하게 된다. 대전시 관계자는 “대규모 행사가 개최되는 시기에는...,http://www.khan.co.kr/kh_news/art_view.html?artid=200503021718321&code=950301
8,2005.08.13.,과학축제! 과학으로 떠나는 여름!,YTN,그동안 따로따로 열리던 대한민국과학축전과 대전 사이언스페스티벌을 하나로 통합해 이공계 기피현상으로 어려움을 겪고 있는 과학의 대중화와 저변확대에 도움을 주는 축제로 거듭나고 있습니다. 대전에서 이정우...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=115&oid=052&aid=0000088038
9,2005.08.22.,`대한민국 과학축전` 어제 폐막,디지털타임스,◇국내 최대 과학 축제=이번 과학축전의 가장 큰 특징은 매년 과학기술부가 주관하는 대한민국 과학축전과 대전시가 주관하는 사이언스 페스티벌이 합쳐서 진행했다는 점이다. 국내에서 열리는 대표적인 두 개의...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0000112565
10,2005.03.02.,대전시 올해 14개 대형 행사 유치,연합뉴스,대전시는 올해 14개의 국제 및 전국규모 행사를 유치해 열 계획이라고 2일 밝혔다. 시는 국제행사로... 8월 사이언스페스티벌(WTA 회원국 등 10여개국 참여) 등을 각각 연다. 또 전국 규모 행사로 9월에 제40회...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0000928464
11,2005.09.29.,[이사람]조청원 신임 중앙과학관장,전자신문,"한편 사이언스 페스티벌의 경우는 이르면 올해 말부터 국내용이 아닌, 국제용으로 발전시키는 방안을... 2%내에서 문화비로 사용하도록 하는 규정을 최대한 이용할 것”이라고 덧붙였다. 대전=박희범기자@전자신문, hbpark@",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=030&aid=0000118720
12,2005.09.23.,[이사람] 지방축제 컨설팅 전문가 정강환 교수,서울신문,"이밖에 무주 반딧불 축제, 대전 사이언스 페스티벌, 안산 김홍도축제, 강릉단오제, 강진 청자축제, 아산 이순신장군축제, 추억의 70·80충장로축제 등 20여건의 지역 축제를 컨설팅했다. 지금은 부산 동래읍성역사축제...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0000058948
13,2005.09.24.,“수학여행은 대전 EXPO로”,대전일보,과학공원은 KTX와 연계한 단체관람객에게 공원뿐만 아니라 사이언스 매직쇼 등 다양한 볼거리를 개방할 계획이다. KTX도 과학공원발 열차안에서 그림그리기 등 다양한 이벤트와 대전역-과학공원간 버스를 준비하는 등...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000045283
14,2005.08.20.,대한민국 과학축전 졸속 행사!,YTN,[리포트] 대한민국 과학축전과 대전 사이언스페스티벌을 하나로 통합해 전국 최대 규모로 치러진 2005 대한민국 과학축전. 온 가족이 함께 즐기며 체험할 수 있는 과학축제를 내세웠던 대한민국 과학축전이 관람객들로부터...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=115&oid=052&aid=0000088836
15,2005.07.18.,대한민국 과학축전 8월12일 개막,경향신문,한국과학문화재단은 “올해 과학축전은 기존의 대전사이언스페스티벌과 대한민국과학축전의 장점만을 살려 국가와 지방자치단체가 협력하는 축제행사로 열 계획”이라고 18일 밝혔다. 이번 축제는 ‘사이언스 180...,http://www.khan.co.kr/kh_news/art_view.html?artid=200507181744001&code=930401
16,2005.08.02.,휴가철 대덕연구단지 곳곳서 체험행사,대전일보,"오는 12일부터 21일까지 열리는 이번 행사는 대전엑스포과학공원이 매년 개최해 오고 있는 사이언스 페스티벌과 통합, 개최되는 것으로 규모면에서 최고를 자랑한다. 국내 최대 과학행사인 대한민국 과학축전이 '과학의...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000039633
